KEGGPathID	Length	Genes
map01100:Metabolic pathways	396	SE16__00598;SE16__00136;SE16__00849;SE16__01383;SE16__02177;SE16__00236;SE16__00761;SE16__00758;SE16__01579;SE16__01576;SE16__01433;SE16__01166;SE16__01341;SE16__00143;SE16__01588;SE16__01596;SE16__00661;SE16__00326;SE16__01397;SE16__00781;SE16__02178;SE16__02116;SE16__00154;SE16__01898;SE16__00767;SE16__01897;SE16__00766;SE16__02018;SE16__00910;SE16__01199;SE16__00174;SE16__00634;SE16__01034;SE16__02189;SE16__01418;SE16__00419;SE16__01200;SE16__00789;SE16__00788;SE16__01107;SE16__00058;SE16__01602;SE16__01178;SE16__00155;SE16__00400;SE16__01993;SE16__00768;SE16__00098;SE16__00607;SE16__01608;SE16__00894;SE16__01611;SE16__01222;SE16__01519;SE16__00281;SE16__00282;SE16__01137;SE16__00696;SE16__01834;SE16__01918;SE16__02181;SE16__00997;SE16__00179;SE16__01641;SE16__00613;SE16__00780;SE16__01896;SE16__00152;SE16__01436;SE16__02103;SE16__01857;SE16__00822;SE16__02067;SE16__01833;SE16__01518;SE16__01921;SE16__00137;SE16__01973;SE16__01821;SE16__01844;SE16__00896;SE16__01958;SE16__01956;SE16__00771;SE16__00726;SE16__01871;SE16__01454;SE16__00445;SE16__00272;SE16__01548;SE16__01408;SE16__02158;SE16__00563;SE16__01603;SE16__00899;SE16__01290;SE16__00293;SE16__01407;SE16__02100;SE16__01246;SE16__00801;SE16__01421;SE16__00180;SE16__00327;SE16__00660;SE16__00597;SE16__00729;SE16__01815;SE16__02077;SE16__00975;SE16__00847;SE16__00918;SE16__01682;SE16__01610;SE16__01604;SE16__01139;SE16__00221;SE16__00621;SE16__00970;SE16__01820;SE16__00686;SE16__01182;SE16__01241;SE16__01353;SE16__01240;SE16__00562;SE16__01575;SE16__00760;SE16__01560;SE16__01763;SE16__00401;SE16__01683;SE16__01684;SE16__01685;SE16__01646;SE16__01643;SE16__00522;SE16__02183;SE16__02097;SE16__01927;SE16__00087;SE16__01926;SE16__01804;SE16__01925;SE16__00993;SE16__01974;SE16__00683;SE16__01858;SE16__01586;SE16__01759;SE16__01574;SE16__02013;SE16__01580;SE16__01573;SE16__00330;SE16__00640;SE16__00728;SE16__01514;SE16__01381;SE16__01212;SE16__00421;SE16__01994;SE16__01031;SE16__00204;SE16__00976;SE16__02159;SE16__01832;SE16__00581;SE16__01797;SE16__00328;SE16__02161;SE16__00133;SE16__01757;SE16__01756;SE16__01856;SE16__02087;SE16__00224;SE16__01978;SE16__01517;SE16__02182;SE16__01374;SE16__01803;SE16__01498;SE16__01445;SE16__02107;SE16__00804;SE16__00227;SE16__01847;SE16__01440;SE16__00422;SE16__00718;SE16__01167;SE16__00777;SE16__00776;SE16__00855;SE16__01059;SE16__01830;SE16__01829;SE16__01826;SE16__01827;SE16__01823;SE16__01824;SE16__00864;SE16__02190;SE16__01058;SE16__01931;SE16__01506;SE16__01505;SE16__00134;SE16__01945;SE16__00122;SE16__01762;SE16__01111;SE16__00691;SE16__01760;SE16__00999;SE16__01932;SE16__01933;SE16__00923;SE16__01695;SE16__01232;SE16__01813;SE16__01425;SE16__01057;SE16__02204;SE16__01845;SE16__00436;SE16__01959;SE16__01612;SE16__00687;SE16__02063;SE16__01872;SE16__01250;SE16__00389;SE16__02134;SE16__00969;SE16__00915;SE16__01697;SE16__00384;SE16__01816;SE16__00909;SE16__01698;SE16__01696;SE16__01702;SE16__00604;SE16__00852;SE16__00361;SE16__02247;SE16__00590;SE16__00786;SE16__00103;SE16__02098;SE16__00038;SE16__01570;SE16__01442;SE16__02272;SE16__00011;SE16__01220;SE16__01843;SE16__02129;SE16__01229;SE16__02078;SE16__01248;SE16__00440;SE16__01979;SE16__01038;SE16__00872;SE16__01426;SE16__00883;SE16__01520;SE16__01504;SE16__00276;SE16__00919;SE16__00443;SE16__00712;SE16__00453;SE16__00061;SE16__00398;SE16__00738;SE16__02208;SE16__01309;SE16__01010;SE16__01853;SE16__00173;SE16__00172;SE16__00171;SE16__01234;SE16__02064;SE16__02215;SE16__02223;SE16__00881;SE16__01810;SE16__01809;SE16__00163;SE16__01798;SE16__00996;SE16__00247;SE16__02279;SE16__01742;SE16__00259;SE16__00977;SE16__00779;SE16__01497;SE16__00102;SE16__00600;SE16__00101;SE16__00100;SE16__02082;SE16__01572;SE16__02213;SE16__00854;SE16__01854;SE16__01525;SE16__00575;SE16__01135;SE16__00121;SE16__00753;SE16__01311;SE16__01154;SE16__00623;SE16__02278;SE16__02256;SE16__00383;SE16__00587;SE16__00916;SE16__01428;SE16__02136;SE16__00125;SE16__01577;SE16__00278;SE16__00890;SE16__01850;SE16__00471;SE16__00765;SE16__00911;SE16__00941;SE16__01919;SE16__01003;SE16__00680;SE16__01235;SE16__01404;SE16__00982;SE16__00317;SE16__00644;SE16__00645;SE16__00927;SE16__00131;SE16__01917;SE16__01920;SE16__01754;SE16__00322;SE16__01439;SE16__01299;SE16__01709;SE16__01884;SE16__02163;SE16__01934;SE16__01088;SE16__00274;SE16__01566;SE16__00986;SE16__01946;SE16__00260;SE16__00636;SE16__00995;SE16__01971;SE16__00637;SE16__00638;SE16__01607;SE16__01310;SE16__02089;SE16__01379;SE16__01380;SE16__01554;SE16__00104;SE16__01741;SE16__00662;SE16__01226;SE16__02061;SE16__00393;SE16__00739;SE16__01942;SE16__00429;SE16__00632;SE16__00391;SE16__00967;SE16__02130;SE16__00743;SE16__01957;SE16__00856;SE16__00365;SE16__01405;SE16__00329;SE16__01014;SE16__01885;SE16__00580;SE16__00444;SE16__00096;SE16__01766;SE16__00994;SE16__00688;SE16__01333;SE16__01895;SE16__00454;SE16__00253;SE16__01995;SE16__01582;SE16__01187;SE16__01188;SE16__00844;SE16__00132;SE16__00599;SE16__00190;SE16__01032;SE16__01859;SE16__00175;SE16__01158;SE16__01578;SE16__01935;SE16__00695;SE16__00266;SE16__00403;SE16__01410;SE16__01409;SE16__00226;SE16__02112;SE16__00439;SE16__02115;SE16__01435;SE16__00118;SE16__01378;SE16__01470;SE16__00620;SE16__00851;SE16__01023;SE16__00762;SE16__01455;SE16__00731;SE16__01559;SE16__01700;SE16__01701;SE16__00837;SE16__00113;SE16__01814;SE16__00046;SE16__01674;SE16__01480;SE16__00806;SE16__01601;SE16__00663;SE16__01774;SE16__01307;SE16__01399;SE16__02151;SE16__01264;SE16__00639;SE16__00258;SE16__01703;SE16__01483;SE16__00074;SE16__00441;SE16__00119;SE16__00085;SE16__00813;SE16__01728;SE16__00249;SE16__00203;SE16__01924;SE16__01922;SE16__01522;SE16__00667;SE16__01773;SE16__01771;SE16__01634;SE16__02166;SE16__01714;SE16__00952;SE16__01138;SE16__02244;SE16__01906;SE16__00364;SE16__01626;SE16__00145;SE16__01807;SE16__02262;SE16__01209;SE16__00448;SE16__00666;SE16__00475;SE16__01688;SE16__00437;SE16__02162;SE16__00246
map01110:Biosynthesis of secondary metabolites	173	SE16__00598;SE16__00136;SE16__00849;SE16__01383;SE16__02177;SE16__00236;SE16__00761;SE16__00758;SE16__01579;SE16__01576;SE16__02122;SE16__01433;SE16__01166;SE16__00898;SE16__01341;SE16__00143;SE16__01588;SE16__00661;SE16__00326;SE16__01397;SE16__00781;SE16__00154;SE16__01898;SE16__00767;SE16__01897;SE16__00766;SE16__02018;SE16__00910;SE16__00634;SE16__01034;SE16__01200;SE16__00789;SE16__00788;SE16__01519;SE16__01137;SE16__01834;SE16__01918;SE16__02181;SE16__00179;SE16__01641;SE16__00613;SE16__00780;SE16__01896;SE16__00152;SE16__01436;SE16__02067;SE16__01921;SE16__00137;SE16__01973;SE16__00896;SE16__01958;SE16__01956;SE16__00771;SE16__00726;SE16__00732;SE16__00939;SE16__00445;SE16__00272;SE16__01548;SE16__01408;SE16__01290;SE16__00293;SE16__01407;SE16__00801;SE16__00327;SE16__00660;SE16__00597;SE16__00729;SE16__02077;SE16__01682;SE16__01610;SE16__01604;SE16__00621;SE16__00970;SE16__01820;SE16__01560;SE16__01643;SE16__02179;SE16__02183;SE16__02097;SE16__01927;SE16__00087;SE16__01926;SE16__01804;SE16__01925;SE16__01974;SE16__00683;SE16__01586;SE16__01574;SE16__02013;SE16__01580;SE16__01573;SE16__00330;SE16__00640;SE16__00728;SE16__01381;SE16__01212;SE16__00421;SE16__01994;SE16__00976;SE16__02159;SE16__00328;SE16__02161;SE16__00133;SE16__01978;SE16__02182;SE16__00422;SE16__00776;SE16__00855;SE16__02190;SE16__01058;SE16__00134;SE16__01945;SE16__01057;SE16__02204;SE16__00755;SE16__00969;SE16__00909;SE16__00604;SE16__00852;SE16__00361;SE16__01442;SE16__01229;SE16__01038;SE16__01520;SE16__00738;SE16__02208;SE16__01853;SE16__02064;SE16__00779;SE16__01512;SE16__01525;SE16__01154;SE16__00623;SE16__02256;SE16__00383;SE16__00587;SE16__00765;SE16__01404;SE16__00982;SE16__00927;SE16__00131;SE16__01917;SE16__01920;SE16__01884;SE16__02163;SE16__01088;SE16__00274;SE16__02203;SE16__01218;SE16__01946;SE16__00260;SE16__00636;SE16__00995;SE16__01971;SE16__00637;SE16__00638;SE16__02089;SE16__01379;SE16__01380;SE16__00730;SE16__00739;SE16__01942;SE16__01957;SE16__00856;SE16__00365;SE16__00329;SE16__00434;SE16__00096;SE16__01766;SE16__01188;SE16__01859;SE16__00175;SE16__00403;SE16__01410;SE16__01409;SE16__00439;SE16__00938;SE16__01256;SE16__00118;SE16__01378;SE16__01470;SE16__00778;SE16__02174;SE16__00851;SE16__01023;SE16__00731;SE16__00837;SE16__00376;SE16__01674;SE16__00022;SE16__01774;SE16__01307;SE16__01399;SE16__00211;SE16__01703;SE16__01483;SE16__01728;SE16__01924;SE16__01922;SE16__00667;SE16__01773;SE16__01771;SE16__01714;SE16__00112;SE16__01138;SE16__01209;SE16__01524
map01120:Microbial metabolism in diverse environments	111	SE16__00598;SE16__02177;SE16__00236;SE16__00761;SE16__00758;SE16__01433;SE16__01341;SE16__00143;SE16__01588;SE16__00661;SE16__00326;SE16__01397;SE16__00154;SE16__02018;SE16__00910;SE16__01199;SE16__00174;SE16__01034;SE16__00419;SE16__01200;SE16__00155;SE16__00400;SE16__01993;SE16__00768;SE16__00098;SE16__01608;SE16__01222;SE16__01834;SE16__00613;SE16__01896;SE16__00152;SE16__01454;SE16__01408;SE16__01603;SE16__01290;SE16__00293;SE16__01407;SE16__00801;SE16__01421;SE16__00180;SE16__00327;SE16__00660;SE16__00597;SE16__02077;SE16__01682;SE16__01610;SE16__01604;SE16__00621;SE16__00970;SE16__01820;SE16__01683;SE16__01684;SE16__01685;SE16__01646;SE16__01974;SE16__00683;SE16__01586;SE16__00195;SE16__02013;SE16__01580;SE16__00330;SE16__01381;SE16__00976;SE16__02159;SE16__00328;SE16__02161;SE16__01659;SE16__01314;SE16__01440;SE16__00777;SE16__00776;SE16__00855;SE16__02190;SE16__01595;SE16__01845;SE16__00404;SE16__00216;SE16__00909;SE16__01220;SE16__01843;SE16__02129;SE16__01229;SE16__01979;SE16__00919;SE16__01309;SE16__01234;SE16__01525;SE16__00575;SE16__01135;SE16__00121;SE16__01311;SE16__00415;SE16__01003;SE16__00680;SE16__01159;SE16__01404;SE16__00317;SE16__02089;SE16__01379;SE16__01380;SE16__00104;SE16__00632;SE16__00391;SE16__00967;SE16__02130;SE16__00743;SE16__00873;SE16__01765;SE16__00856;SE16__00365;SE16__01661;SE16__00362;SE16__00790;SE16__01405;SE16__00329;SE16__00994;SE16__01895;SE16__00454;SE16__00253;SE16__01960;SE16__01032;SE16__01158;SE16__01578;SE16__01410;SE16__01409;SE16__02165;SE16__01581;SE16__01585;SE16__01307;SE16__01399;SE16__02151;SE16__01264;SE16__01522;SE16__00952;SE16__01138;SE16__01209;SE16__00666
map01200:Carbon metabolism	50	SE16__00236;SE16__01411;SE16__00761;SE16__00758;SE16__01433;SE16__01341;SE16__00143;SE16__01588;SE16__00326;SE16__01397;SE16__00154;SE16__02018;SE16__00910;SE16__01199;SE16__01034;SE16__00789;SE16__00788;SE16__01834;SE16__00613;SE16__01896;SE16__00152;SE16__01408;SE16__01407;SE16__00801;SE16__01421;SE16__00180;SE16__00327;SE16__02077;SE16__01974;SE16__00683;SE16__01586;SE16__02013;SE16__01580;SE16__00330;SE16__01212;SE16__00976;SE16__00328;SE16__02161;SE16__01440;SE16__00777;SE16__00776;SE16__00855;SE16__00909;SE16__00604;SE16__01525;SE16__00121;SE16__00104;SE16__00391;SE16__00967;SE16__02130;SE16__00856;SE16__00365;SE16__01405;SE16__00329;SE16__01032;SE16__01410;SE16__01409;SE16__01209
map01210:2-Oxocarboxylic acid metabolism	12	SE16__01579;SE16__01576;SE16__00661;SE16__00781;SE16__00780;SE16__00445;SE16__00660;SE16__00597;SE16__01574;SE16__01580;SE16__01573;SE16__01577;SE16__01404
map01212:Fatty acid metabolism	1	SE16__00776;SE16__00855
map01230:Biosynthesis of amino acids	63	SE16__00598;SE16__00136;SE16__00849;SE16__01383;SE16__01579;SE16__01576;SE16__01433;SE16__00661;SE16__00326;SE16__01397;SE16__00781;SE16__00634;SE16__01200;SE16__01137;SE16__01834;SE16__00179;SE16__01641;SE16__00613;SE16__00780;SE16__00137;SE16__01973;SE16__00726;SE16__00445;SE16__00272;SE16__01548;SE16__01408;SE16__01407;SE16__00327;SE16__00660;SE16__00597;SE16__02077;SE16__01646;SE16__01586;SE16__01574;SE16__01580;SE16__01573;SE16__00330;SE16__00640;SE16__00728;SE16__01212;SE16__00421;SE16__00976;SE16__00328;SE16__02161;SE16__00133;SE16__00422;SE16__00777;SE16__02190;SE16__00134;SE16__00361;SE16__01442;SE16__01038;SE16__01520;SE16__02208;SE16__01853;SE16__02064;SE16__01854;SE16__00121;SE16__01577;SE16__01404;SE16__00131;SE16__00637;SE16__00638;SE16__00329;SE16__01582;SE16__01187;SE16__01188;SE16__00844;SE16__01138
map01232:Nucleotide metabolism	25	SE16__01166;SE16__00607;SE16__00281;SE16__00282;SE16__00696;SE16__01857;SE16__00822;SE16__02067;SE16__01833;SE16__00729;SE16__00522;SE16__01847;SE16__01167;SE16__00999;SE16__00436;SE16__01959;SE16__00852;SE16__01010;SE16__01742;SE16__02256;SE16__00383;SE16__00587;SE16__00941;SE16__01934;SE16__01741;SE16__01559;SE16__01601;SE16__01688;SE16__00437
map01250:Biosynthesis of nucleotide sugars	20	SE16__01821;SE16__01844;SE16__01871;SE16__00801;SE16__01832;SE16__02063;SE16__01872;SE16__01250;SE16__02078;SE16__01248;SE16__02215;SE16__02223;SE16__00102;SE16__00600;SE16__00101;SE16__00100;SE16__02082;SE16__01572;SE16__01919;SE16__00322;SE16__01566;SE16__01971;SE16__01885;SE16__00580;SE16__00444;SE16__00688;SE16__01333;SE16__00046;SE16__00074;SE16__00441;SE16__00119;SE16__01626
map01240:Biosynthesis of cofactors	73	SE16__02189;SE16__01834;SE16__02181;SE16__00997;SE16__01518;SE16__01973;SE16__01958;SE16__01956;SE16__00445;SE16__00563;SE16__00729;SE16__01815;SE16__00975;SE16__00847;SE16__00918;SE16__02183;SE16__00993;SE16__01381;SE16__01994;SE16__00224;SE16__01978;SE16__01517;SE16__02182;SE16__00227;SE16__01847;SE16__01440;SE16__00718;SE16__00864;SE16__01058;SE16__01945;SE16__01695;SE16__01232;SE16__01813;SE16__01425;SE16__01057;SE16__02204;SE16__00261;SE16__00262;SE16__00389;SE16__02134;SE16__00915;SE16__01697;SE16__00384;SE16__01816;SE16__01698;SE16__01696;SE16__02247;SE16__00590;SE16__00786;SE16__00103;SE16__00872;SE16__01426;SE16__00883;SE16__02279;SE16__00757;SE16__02278;SE16__00125;SE16__01850;SE16__00471;SE16__00941;SE16__01235;SE16__01404;SE16__00317;SE16__00927;SE16__00986;SE16__01607;SE16__01310;SE16__02089;SE16__01379;SE16__01380;SE16__01741;SE16__02061;SE16__01957;SE16__00132;SE16__01859;SE16__00175;SE16__00403;SE16__00226;SE16__00851;SE16__01023;SE16__01700;SE16__01701;SE16__00113;SE16__01814;SE16__01307;SE16__01399;SE16__00639;SE16__01703;SE16__01483;SE16__00813
