KEGGPathID	Length	Genes
sao02020:Two-component system - Staphylococcus aureus subsp. aureus NCTC8325	76	SAOUHSC_01799;SAOUHSC_01800;SAOUHSC_02958;SAOUHSC_01389;SAOUHSC_02314;SAOUHSC_02315;SAOUHSC_02312;SAOUHSC_02311;SAOUHSC_02310;SAOUHSC_02313;SAOUHSC_01585;SAOUHSC_01586;SAOUHSC_01065;SAOUHSC_00021;SAOUHSC_00020;SAOUHSC_00001;SAOUHSC_00714;SAOUHSC_00715;SAOUHSC_03036;SAOUHSC_03037;SAOUHSC_02953;SAOUHSC_02954;SAOUHSC_02955;SAOUHSC_02956;SAOUHSC_00668;SAOUHSC_00667;SAOUHSC_00666;SAOUHSC_00665;SAOUHSC_00869;SAOUHSC_00870;SAOUHSC_00871;SAOUHSC_00872;SAOUHSC_01359;SAOUHSC_01419;SAOUHSC_01420;SAOUHSC_01953;SAOUHSC_01952;SAOUHSC_01951;SAOUHSC_01949;SAOUHSC_01948;SAOUHSC_01947;SAOUHSC_01945;SAOUHSC_00890;SAOUHSC_01810;SAOUHSC_00230;SAOUHSC_00231;SAOUHSC_00232;SAOUHSC_00233;SAOUHSC_02261;SAOUHSC_02262;SAOUHSC_02264;SAOUHSC_02265;SAOUHSC_02681;SAOUHSC_02680;SAOUHSC_02678;SAOUHSC_02679;SAOUHSC_00183;SAOUHSC_01313;SAOUHSC_02099;SAOUHSC_02098;SAOUHSC_02676;SAOUHSC_02675;SAOUHSC_02677;SAOUHSC_02671;SAOUHSC_01287;SAOUHSC_00336;SAOUHSC_00558;SAOUHSC_00186;SAOUHSC_00185;SAOUHSC_00184;SAOUHSC_01031;SAOUHSC_01032;SAOUHSC_02095;SAOUHSC_00129;SAOUHSC_02352;SAOUHSC_00128
sao03030:DNA replication - Staphylococcus aureus subsp. aureus NCTC8325	16	SAOUHSC_02110;SAOUHSC_01811;SAOUHSC_01241;SAOUHSC_00442;SAOUHSC_00454;SAOUHSC_01690;SAOUHSC_00002;SAOUHSC_00018;SAOUHSC_01663;SAOUHSC_00349;SAOUHSC_02334;SAOUHSC_01443;SAOUHSC_01215;SAOUHSC_01095;SAOUHSC_01797;SAOUHSC_02122
sao03430:Mismatch repair - Staphylococcus aureus subsp. aureus NCTC8325	17	SAOUHSC_01272;SAOUHSC_01099;SAOUHSC_01273;SAOUHSC_02123;SAOUHSC_01620;SAOUHSC_01619;SAOUHSC_01744;SAOUHSC_00349;SAOUHSC_02334;SAOUHSC_01811;SAOUHSC_01241;SAOUHSC_00002;SAOUHSC_00442;SAOUHSC_01690;SAOUHSC_00454;SAOUHSC_02110;SAOUHSC_02122
sao03440:Homologous recombination - Staphylococcus aureus subsp. aureus NCTC8325	20	SAOUHSC_01744;SAOUHSC_00349;SAOUHSC_02334;SAOUHSC_00004;SAOUHSC_01667;SAOUHSC_00445;SAOUHSC_01262;SAOUHSC_01797;SAOUHSC_01751;SAOUHSC_01750;SAOUHSC_01194;SAOUHSC_01723;SAOUHSC_01811;SAOUHSC_01241;SAOUHSC_00002;SAOUHSC_00442;SAOUHSC_01690;SAOUHSC_00454;SAOUHSC_02110;SAOUHSC_01179
sao00340:Histidine metabolism - Staphylococcus aureus subsp. aureus NCTC8325	14	SAOUHSC_03014;SAOUHSC_03009;SAOUHSC_03010;SAOUHSC_03008;SAOUHSC_03011;SAOUHSC_03012;SAOUHSC_00733;SAOUHSC_03013;SAOUHSC_00008;SAOUHSC_02607;SAOUHSC_02606;SAOUHSC_02610;SAOUHSC_00132;SAOUHSC_02363
sao00970:Aminoacyl-tRNA biosynthesis - Staphylococcus aureus subsp. aureus NCTC8325	85	SAOUHSC_T0001;SAOUHSC_T0003;SAOUHSC_T0002;SAOUHSC_T0006;SAOUHSC_T0005;SAOUHSC_T0004;SAOUHSC_T0007;SAOUHSC_T00010;SAOUHSC_T0009;SAOUHSC_T0008;SAOUHSC_T00012;SAOUHSC_T00014;SAOUHSC_T00013;SAOUHSC_T00011;SAOUHSC_T00015;SAOUHSC_T00017;SAOUHSC_T00016;SAOUHSC_T00018;SAOUHSC_T00019;SAOUHSC_T00020;SAOUHSC_T00021;SAOUHSC_T00024;SAOUHSC_T00046;SAOUHSC_T00023;SAOUHSC_T00047;SAOUHSC_T00022;SAOUHSC_T00025;SAOUHSC_T00026;SAOUHSC_T00027;SAOUHSC_T00028;SAOUHSC_T00029;SAOUHSC_T00031;SAOUHSC_T00032;SAOUHSC_T00030;SAOUHSC_T00033;SAOUHSC_T00034;SAOUHSC_T00036;SAOUHSC_T00037;SAOUHSC_T00035;SAOUHSC_T00041;SAOUHSC_T00038;SAOUHSC_T00039;SAOUHSC_T00040;SAOUHSC_T00042;SAOUHSC_T00043;SAOUHSC_T00044;SAOUHSC_T00045;SAOUHSC_T00048;SAOUHSC_T00052;SAOUHSC_T00051;SAOUHSC_T00049;SAOUHSC_T00050;SAOUHSC_T00053;SAOUHSC_T00054;SAOUHSC_T00055;SAOUHSC_T00056;SAOUHSC_T00058;SAOUHSC_T00057;SAOUHSC_T00059;SAOUHSC_T00061;SAOUHSC_T00060;SAOUHSC_00509;SAOUHSC_02117;SAOUHSC_02116;SAOUHSC_02118;SAOUHSC_01722;SAOUHSC_01737;SAOUHSC_01471;SAOUHSC_01666;SAOUHSC_01788;SAOUHSC_00009;SAOUHSC_00511;SAOUHSC_00461;SAOUHSC_01183;SAOUHSC_01767;SAOUHSC_01875;SAOUHSC_01159;SAOUHSC_00493;SAOUHSC_00611;SAOUHSC_01240;SAOUHSC_01738;SAOUHSC_01092;SAOUHSC_01093;SAOUHSC_01839;SAOUHSC_00933
sao00270:Cysteine and methionine metabolism - Staphylococcus aureus subsp. aureus NCTC8325	24	SAOUHSC_00510;SAOUHSC_00488;SAOUHSC_00422;SAOUHSC_00340;SAOUHSC_00421;SAOUHSC_00339;SAOUHSC_00338;SAOUHSC_01909;SAOUHSC_01702;SAOUHSC_01152;SAOUHSC_01828;SAOUHSC_02375;SAOUHSC_01319;SAOUHSC_01394;SAOUHSC_01395;SAOUHSC_01320;SAOUHSC_00013;SAOUHSC_00341;SAOUHSC_00536;SAOUHSC_02922;SAOUHSC_00206;SAOUHSC_02839;SAOUHSC_02840;SAOUHSC_01833
sao00920:Sulfur metabolism - Staphylococcus aureus subsp. aureus NCTC8325	10	SAOUHSC_00320;SAOUHSC_01812;SAOUHSC_02947;SAOUHSC_00037;SAOUHSC_00716;SAOUHSC_00510;SAOUHSC_00488;SAOUHSC_00013;SAOUHSC_00341;SAOUHSC_00422
sao03010:Ribosome - Staphylococcus aureus subsp. aureus NCTC8325	71	SAOUHSC_01493;SAOUHSC_02506;SAOUHSC_01829;SAOUHSC_02494;SAOUHSC_00348;SAOUHSC_00528;SAOUHSC_02498;SAOUHSC_02477;SAOUHSC_02512a;SAOUHSC_02486;SAOUHSC_00527;SAOUHSC_02487;SAOUHSC_01329;SAOUHSC_02499;SAOUHSC_01250;SAOUHSC_01208;SAOUHSC_02503;SAOUHSC_00350;SAOUHSC_02508;SAOUHSC_01689;SAOUHSC_01678;SAOUHSC_00519;SAOUHSC_02509;SAOUHSC_02512;SAOUHSC_02511;SAOUHSC_02500;SAOUHSC_02496;SAOUHSC_00521;SAOUHSC_00017;SAOUHSC_00520;SAOUHSC_00518;SAOUHSC_02478;SAOUHSC_02502;SAOUHSC_02492;SAOUHSC_02505;SAOUHSC_02484;SAOUHSC_02495;SAOUHSC_01211;SAOUHSC_01784;SAOUHSC_01757;SAOUHSC_02507;SAOUHSC_02510;SAOUHSC_02501;SAOUHSC_00474;SAOUHSC_01755;SAOUHSC_01191;SAOUHSC_02504;SAOUHSC_02493;SAOUHSC_02361;SAOUHSC_01651;SAOUHSC_01328;SAOUHSC_03055;SAOUHSC_01785;SAOUHSC_02488;SAOUHSC_00526;SAOUHSC_R0004;SAOUHSC_R0002;SAOUHSC_R0003;SAOUHSC_R0005;SAOUHSC_R0001;SAOUHSC_R00010;SAOUHSC_R0009;SAOUHSC_R0007;SAOUHSC_R0006;SAOUHSC_R0008;SAOUHSC_R00012;SAOUHSC_R00016;SAOUHSC_R00015;SAOUHSC_R00013;SAOUHSC_R00014;SAOUHSC_R00011
sao00230:Purine metabolism - Staphylococcus aureus subsp. aureus NCTC8325	44	SAOUHSC_01593;SAOUHSC_00101;SAOUHSC_02793;SAOUHSC_00472;SAOUHSC_01014;SAOUHSC_01018;SAOUHSC_01016;SAOUHSC_01013;SAOUHSC_01011;SAOUHSC_01012;SAOUHSC_01015;SAOUHSC_01009;SAOUHSC_01008;SAOUHSC_01010;SAOUHSC_02126;SAOUHSC_01017;SAOUHSC_01743;SAOUHSC_02380;SAOUHSC_00097;SAOUHSC_01152;SAOUHSC_00485;SAOUHSC_00374;SAOUHSC_01485;SAOUHSC_01107;SAOUHSC_00372;SAOUHSC_00375;SAOUHSC_01330;SAOUHSC_01176;SAOUHSC_00742;SAOUHSC_00743;SAOUHSC_02942;SAOUHSC_00540;SAOUHSC_01742;SAOUHSC_00942;SAOUHSC_02811;SAOUHSC_00019;SAOUHSC_00539;SAOUHSC_01265;SAOUHSC_02490;SAOUHSC_02561;SAOUHSC_02559;SAOUHSC_02558;SAOUHSC_02965;SAOUHSC_01129
